Time,Value ($),Progress (%)
14:44,2.61,0.82
14:45,2.6,0.82
14:45,2.6,0.82
14:45,2.6,0.82
14:45,2.6,0.34
14:46,2.6,0.34
14:46,2.6,0.34
14:46,2.6,0.34
14:46,2.6,0.47
14:47,2.61,0.47
14:47,2.61,0.47
14:47,2.61,0.47
14:47,2.61,1.05
14:48,2.61,1.05
14:48,2.61,1.05
14:48,2.61,1.05
14:48,2.61,1.38
14:49,2.61,1.38
14:49,2.61,1.38
14:49,2.61,1.14
14:49,2.61,1.14
14:50,2.61,1.14
14:50,2.61,1.14
14:50,2.61,1.26
14:51,2.61,1.26
14:51,2.61,1.26
14:51,2.61,1.26
14:51,2.61,1.35
14:52,2.61,1.35
14:52,2.61,1.35
14:52,2.61,1.35
14:52,2.61,1.54
14:53,2.61,1.54
14:53,2.61,1.54
14:53,2.61,1.54
14:53,2.61,1.18
14:54,2.61,1.18
14:54,2.6,1.18
14:54,2.6,1.18
14:54,2.6,1.18
14:55,2.6,1.18
14:55,2.59,0.62
14:55,2.59,0.62
14:55,2.59,0.62
14:56,2.59,0.62
14:56,2.59,0.4
14:56,2.59,0.4
14:56,2.59,0.4
14:57,2.59,0.4
14:57,2.58,0.06
14:57,2.58,0.06
14:57,2.58,0.06
14:58,2.58,0.06
14:58,2.58,0.03
14:58,2.58,0.03
14:58,2.58,0.03
14:59,2.58,0.03
14:59,2.58,0.11
14:59,2.58,0.11
14:59,2.58,0.11
15:00,2.58,0.11
15:00,2.58,0.21
15:00,2.58,0.21
15:00,2.58,0.21
15:01,2.58,0.21
15:01,2.57,-0.11
15:01,2.57,-0.11
15:01,2.57,-0.11
15:02,2.57,-0.11
15:02,2.57,-0.13
15:02,2.57,-0.13
15:02,2.57,-0.13
15:03,2.57,-0.13
15:03,2.59,0.72
15:03,2.59,0.72
15:03,2.59,0.72
15:04,2.59,0.72
15:04,2.57,-0.29
15:04,2.57,-0.29
15:04,2.57,-0.29
15:05,2.57,-0.29
15:05,2.57,-0.3
15:05,2.57,-0.3
15:05,2.57,-0.3
15:06,2.57,-0.3
15:06,2.58,-0.63
15:06,2.58,-0.63
15:06,2.58,-0.63
15:07,2.58,-0.63
15:07,2.58,-0.99
15:07,2.58,-0.99
15:08,2.58,-0.99
15:08,2.58,-0.99
15:08,2.58,-0.88
15:08,2.58,-0.88
15:09,2.58,-0.88
15:09,2.58,-0.88
15:09,2.58,-0.88
15:09,2.58,-1.07
15:10,2.58,-1.07
15:10,2.58,-1.07
15:10,2.58,-0.63
15:10,2.58,-0.63
15:11,2.58,-0.63
15:11,2.58,-0.63
15:11,2.58,-0.63
15:11,2.58,0.01
15:12,2.58,0.01
15:12,2.58,0.01
15:12,2.58,0.01
15:12,2.58,0.01
15:13,2.58,0.01
15:13,2.58,0.01
15:13,2.58,0.46
15:13,2.58,0.36
15:14,2.58,0.36
15:14,2.58,0.36
15:14,2.58,0.36
15:15,2.58,0.36
15:15,2.58,0.36
15:15,2.58,0.15
15:15,2.58,0.15
15:16,2.58,0.15
15:16,2.58,0.15
15:16,2.58,0.32
15:16,2.58,0.32
15:17,2.58,0.32
15:17,2.58,0.32
15:17,2.58,0.45
15:17,2.58,0.45
15:18,2.58,0.45
15:18,2.58,0.45
15:18,2.58,0.4
15:18,2.58,0.4
15:19,2.58,0.4
15:19,2.58,0.4
15:19,2.59,0.07
15:19,2.59,0.07
15:20,2.59,0.07
15:20,2.59,0.07
15:20,2.59,0.39
15:21,2.59,0.39
15:21,2.59,0.39
15:21,2.59,0.39
15:21,2.59,0.42
15:22,2.59,0.42
15:22,2.59,0.42
15:22,2.59,0.42
15:22,2.59,0.46
15:23,2.59,0.46
15:23,2.59,0.46
15:23,2.59,0.46
15:23,2.6,0.39
15:24,2.6,0.39
15:24,2.6,0.39
15:24,2.6,0.39
15:24,2.6,0.6
15:25,2.6,0.6
15:25,2.6,0.6
15:25,2.6,0.6
15:25,2.6,0.65
15:26,2.6,0.65
15:26,2.6,0.65
15:26,2.6,0.65
15:26,2.6,0.19
15:27,2.6,0.19
15:27,2.6,0.19
15:27,2.6,0.16
15:27,2.6,0.16
15:28,2.6,0.16
15:28,2.6,0.16
15:28,2.6,0.16
15:28,2.6,0.27
15:29,2.6,0.27
15:29,2.6,0.27
15:29,2.6,0.27
15:29,2.6,0.27
15:30,2.6,0.27
15:30,2.6,0.27
15:30,2.6,0.27
15:30,2.6,0.06
15:31,2.6,0.06
15:31,2.6,0.06
15:31,2.6,0.06
15:31,2.6,0.02
